grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
248,4.0,8.9,62,301.71,0.78,1,1
161,5.7,18.2,76,318.83,3.4,1,1
162,7.9,8.4,52,335.92,6.32,1,1
238,3.3,14.1,54,301.71,0.78,1,1
32,3.0,11.3,29,301.27,1.49,1,1
18,4.0,3.6,32,298.62,1.33,1,1
220,2.4,16.5,43,301.71,0.78,1,1
26,6.0,14.3,28,301.27,1.49,1,1
247,12.7,14.9,69,301.71,0.78,1,1
245,12.9,9.9,65,338.81,2.41,1,1
268,11.6,10.3,53,338.81,2.41,1,1
76,16.1,5.5,38,299.15,1.08,1,1
239,11.6,10.3,63,338.81,2.41,1,1
182,11.6,10.7,56,336.43,5.0,1,1
117,13.1,10.9,36,299.43,0.59,1,1
47,13.4,15.7,41,312.43,1.24,1,1
81,18.6,8.9,22,299.15,1.08,1,1
66,15.9,12.0,36,312.43,1.24,1,1
196,7.6,21.4,36,323.19,2.53,1,1
18,12.9,18.2,44,307.3,1.36,1,1
267,9.5,12.3,54,338.81,2.41,1,1
49,14.8,11.7,42,302.87,0.75,1,1
274,9.5,12.3,67,338.81,2.41,1,1
59,18.6,8.9,33,299.06,1.29,1,1
25,,,58,296.62,0.59,1,1
46,,,54,309.72,1.06,1,1
42,,,52,309.72,1.06,1,1
122,12.7,12.0,51,299.43,0.59,1,1
19,,,63,296.62,0.59,1,1
48,6.8,10.8,52,312.43,1.24,1,1
30,,,52,299.15,0.93,1,1
190,6.5,13.3,63,307.83,1.34,1,1
56,2.8,10.2,61,299.06,1.29,1,1
159,,,50,333.29,1.64,1,1
137,3.6,13.7,45,298.03,0.84,1,1
80,10.6,8.6,44,302.05,0.62,1,1
200,8.6,2.6,52,307.56,1.36,1,1
28,10.0,20.7,37,320.63,1.33,1,1
20,9.1,15.1,53,295.12,0.9,1,1
6,10.3,15.4,73,295.82,1.24,1,1
152,7.7,3.1,65,325.17,1.81,1,1
61,9.4,5.6,65,320.63,1.33,1,1
213,9.9,6.2,58,311.55,1.06,1,1
133,6.2,8.7,65,296.36,1.53,1,1
17,6.1,8.0,63,329.16,2.64,1,1
207,5.8,6.3,47,295.22,1.6,1,1
140,5.0,6.0,61,325.17,1.81,1,1
174,5.0,4.4,64,325.17,1.81,1,1
233,4.7,7.6,67,326.94,0.98,1,1
10,17.7,11.8,73,,,1,1
201,17.3,13.0,64,304.13,0.61,1,1
204,5.2,5.1,76,295.35,0.91,1,1
241,2.4,7.0,72,333.94,4.57,1,1
199,7.7,6.0,58,295.35,0.91,1,1
144,7.0,10.2,59,311.66,3.19,1,1
124,5.8,13.4,60,,,1,1
265,2.5,2.1,64,326.09,2.01,1,1
82,2.7,7.6,39,,,1,1
177,2.9,3.8,42,296.4,0.93,1,1
209,15.5,10.0,74,,,1,1
230,14.4,7.3,81,302.03,2.01,1,1
134,13.8,5.4,78,,,1,1
210,10.7,7.1,74,,,1,1
192,15.3,4.4,75,295.93,0.54,1,1
254,14.2,4.1,74,335.37,1.87,1,1
139,6.9,1.9,69,306.27,2.34,1,1
271,5.5,6.5,50,347.72,25.63,1,1
288,7.5,12.4,56,,,1,1
218,13.3,11.9,71,,,1,1
102,4.5,14.7,42,317.83,2.46,1,1
216,2.1,10.9,73,,,1,1
246,4.8,11.9,74,297.02,0.92,1,1
257,-6.0,19.5,38,300.5,0.94,1,1
279,-10.4,22.9,32,,,1,1
1,5.5,35.5,69,296.28,1.07,1,1
15,4.5,27.7,69,303.95,2.26,1,1
107,4.3,14.1,58,298.72,1.69,1,1
103,2.8,9.1,48,298.72,1.69,1,1
285,-0.7000000000000001,26.0,56,,,1,1
231,-0.4,5.8,68,,,1,1
7,2.5,19.4,52,295.89,1.41,1,1
249,-3.5,5.3,61,299.09,1.02,1,1
145,-3.1,4.3,54,304.69,1.1,1,1
269,-5.7,1.8,57,,,1,1
277,-4.5,7.7,60,,,1,1
253,1.3,7.2,51,,,1,1
160,0.4,7.3,61,331.66,3.83,1,1
273,-6.9,18.0,46,,,1,1
89,1.6,14.8,46,331.76,4.07,1,1
4,6.1,8.2,58,367.0,8.18,2,1
70,4.9,9.8,48,331.76,4.07,1,1
208,0.1,4.2,46,,,1,1
163,,,63,301.98,1.08,1,1
149,1.1,3.5,61,298.87,0.55,1,1
146,1.1,3.5,56,,,1,1
173,5.8,5.9,41,313.48,2.38,1,1
41,4.6,18.4,71,320.65,2.09,1,1
101,4.0,13.0,50,,,1,1
143,4.0,11.7,50,,,1,1
229,1.7000000000000002,6.2,70,296.2,0.45,1,1
167,1.5,10.0,63,,,1,1
3,5.3,7.1,64,326.84,3.33,1,1
13,2.4,8.9,61,,,1,1
54,5.3,5.1,57,346.87,3.22,1,1
223,2.9,2.6,56,,,1,1
129,4.0,8.5,59,,,1,1
92,3.6,7.7,69,298.61,0.67,1,1
51,5.3,5.1,64,338.33,3.92,1,1
142,1.4,7.0,61,,,1,1
179,2.3,12.4,71,308.48,1.35,1,1
64,3.4,3.9,57,,,1,1
191,3.8,19.1,64,296.38,1.57,1,1
22,2.4,7.9,70,346.87,3.22,1,1
212,0.6000000000000001,1.3,63,299.37,1.05,1,1
14,1.7000000000000002,7.2,73,,,1,1
23,3.5,11.2,62,329.47,3.11,1,1
123,-0.7000000000000001,3.5,53,,,1,1
86,2.1,3.2,47,,,1,1
132,-2.1,6.2,57,,,1,1
0,1.1,21.0,64,332.85,3.35,1,1
280,-9.6,15.6,34,,,1,1
113,0.0,13.4,59,332.8,6.59,1,1
45,0.4,18.6,76,297.87,2.52,1,1
206,-8.7,9.6,48,325.79,3.05,1,1
119,-1.8,15.8,61,,,1,1
147,-1.0,3.7,53,295.61,2.4,1,1
99,0.7000000000000001,10.3,50,298.06,1.03,1,1
189,2.0,6.7,47,298.56,0.6000000000000001,1,1
205,-1.8,5.7,57,304.3,0.9,1,1
240,-3.5,8.7,50,,,1,1
235,-3.4,9.2,50,,,1,1
125,2.4,26.9,60,,,1,1
36,2.7,21.3,47,300.95,1.27,1,1
73,1.3,9.0,27,295.52,1.84,1,1
71,0.9,3.5,53,,,1,1
181,-1.5,5.6,59,297.85,1.47,1,1
158,-2.0,7.6,65,,,1,1
53,5.1,8.8,49,295.52,1.84,1,1
157,0.2,4.2,57,295.08,0.92,1,1
148,-1.3,5.5,66,,,1,1
242,-4.2,18.5,50,300.5,0.94,1,1
88,2.9,5.8,55,330.38,2.6,1,1
131,0.7000000000000001,5.1,54,317.83,2.46,1,1
171,-0.5,9.7,67,295.93,1.19,1,1
175,5.8,2.6,60,,,1,1
226,5.5,1.7000000000000002,51,,,1,1
150,6.8,1.2,63,,,1,1
157,9.3,5.5,45,,,1,1
44,8.2,10.5,29,,,1,1
105,3.3,6.4,33,,,1,1
11,5.7,5.6,51,,,1,1
256,1.3,14.9,18,,,1,1
222,2.3,5.7,33,,,1,1
168,3.3,4.8,39,,,1,1
165,3.8,3.3,23,,,1,1
250,3.0,8.9,18,,,1,1
156,2.3,10.8,58,,,1,1
209,3.7,8.1,46,,,1,1
214,2.1,12.2,61,,,1,1
289,5.6,20.2,63,,,1,1
282,0.9,10.8,51,,,1,1
279,-1.9,24.0,28,,,1,1
264,0.9,10.8,56,,,1,1
74,4.0,11.0,43,,,1,1
31,1.3,12.0,41,,,1,1
115,1.2,6.2,57,,,1,1
169,0.5,11.5,63,,,1,1
180,1.0,13.9,67,,,1,1
276,-2.6,10.7,51,,,1,1
155,-1.6,8.8,49,,,1,1
138,-1.9,10.2,38,,,1,1
109,0.6000000000000001,15.1,37,,,1,1
77,0.3,11.5,30,,,1,1
38,0.9,14.4,33,,,1,1
38,-0.5,17.1,33,,,1,1
281,-4.6,14.8,47,,,1,1
259,-1.3,8.3,44,,,1,1
193,-3.8,20.2,46,,,1,1
228,-3.2,31.2,45,,,1,1
205,-3.2,13.0,52,,,1,1
251,-3.7,12.0,39,,,1,1
272,-3.2,5.0,43,,,1,1
116,-2.9,12.4,54,,,1,1
67,0.0,10.0,30,,,1,1
225,-3.8,12.0,45,,,1,1
219,-9.4,14.1,42,,,1,1
237,-3.5,10.4,50,,,1,1
243,-9.4,14.1,36,,,1,1
178,-3.7,12.6,43,,,1,1
9,-1.0,14.7,54,,,1,1
172,-2.4,4.4,48,,,1,1
202,-3.3,8.4,39,,,1,1
24,0.3,27.4,47,,,1,1
127,-2.8,16.6,43,,,1,1
141,-3.5,10.4,51,,,1,1
110,-1.8,9.9,52,,,1,1
284,-2.9,18.7,35,,,1,1
170,-3.2,18.6,39,,,1,1
154,-1.1,21.4,42,,,1,1
179,-2.8,21.5,47,,,1,1
118,-0.9,11.2,47,,,1,1
236,2.4,9.5,39,,,1,1
55,5.6,8.9,55,,,1,1
57,5.3,7.7,73,,,1,1
185,-0.2,7.1,62,,,1,1
27,2.5,7.6,48,,,1,1
266,-7.6,24.2,30,,,1,1
215,-1.4,7.2,70,,,1,1
95,-3.0,12.2,56,,,1,1
244,-15.3,15.2,39,,,1,1
286,-7.0,27.5,54,,,1,1
197,-5.7,20.1,60,,,1,1
261,-15.3,25.5,33,,,1,1
283,-9.4,27.4,30,,,1,1
183,-1.7000000000000002,20.7,53,,,1,1
33,4.0,9.3,86,,,1,1
87,7.3,5.9,45,,,1,1
5,7.0,5.5,61,,,1,1
106,20.0,8.2,74,,,1,1
166,8.2,23.3,66,,,1,1
94,17.0,7.9,40,,,1,1
83,17.4,8.7,31,,,1,1
62,17.0,7.9,43,,,1,1
247,11.7,9.6,58,,,1,1
187,12.5,10.9,49,,,1,1
211,11.5,8.0,50,,,1,1
114,13.9,20.8,45,,,1,1
98,17.6,6.5,42,,,1,1
104,14.2,14.3,32,,,1,1
100,17.6,6.5,40,,,1,1
29,16.7,6.9,42,,,1,1
164,16.4,10.5,58,,,1,1
43,14.7,18.8,56,,,1,1
186,11.0,16.7,67,,,1,1
151,13.4,11.4,64,,,1,1
68,13.2,16.0,57,,,1,1
205,10.4,14.4,71,,,1,1
16,14.7,18.8,67,,,1,1
65,18.9,10.5,50,,,1,1
69,18.1,10.2,55,,,1,1
263,10.4,16.5,70,,,1,1
83,18.1,8.2,40,,,1,1
93,15.8,9.9,48,,,1,1
78,15.8,9.9,51,,,1,1
135,15.0,15.9,46,,,1,1
287,13.8,14.2,79,,,1,1
60,14.1,13.9,41,,,1,1
112,13.1,10.9,36,,,1,1
260,11.7,4.9,57,,,1,1
79,17.5,6.5,33,,,1,1
224,12.9,9.9,60,,,1,1
221,9.5,10.7,55,,,1,1
58,13.3,7.5,53,,,1,1
131,15.3,10.2,34,,,1,1
34,13.1,5.9,54,,,1,1
124,13.1,15.5,35,,,1,1
57,13.3,7.5,53,,,1,1
90,13.3,7.5,41,,,1,1
108,17.1,9.8,29,,,1,1
195,9.5,10.7,51,,,1,1
2,12.3,9.9,78,,,1,1
203,13.0,10.6,55,,,1,1
84,17.1,9.8,29,,,1,1
8,10.5,11.0,59,,,1,1
12,10.5,11.0,59,,,1,1
188,11.0,12.0,51,,,1,1
120,15.3,10.2,32,,,1,1
91,17.1,9.8,27,,,1,1
40,13.1,5.9,54,,,1,1
63,8.6,8.6,60,,,1,1
227,,,63,,,1,1
184,6.5,13.3,62,,,1,1
128,3.5,10.9,56,,,1,1
35,4.2,9.3,41,,,1,1
50,4.2,9.3,42,,,1,1
218,2.3,6.6,50,,,1,1
52,,,69,,,1,1
130,5.0,9.8,58,,,1,1
270,,,46,,,1,1
232,11.1,6.9,64,,,1,1
275,,,38,,,1,1
252,11.6,10.7,66,,,1,1
194,12.2,10.6,46,,,1,1
176,,,42,,,1,1
96,12.1,11.5,31,,,1,1
198,8.1,10.5,38,,,1,1
37,8.8,11.4,38,,,1,1
136,8.4,22.1,55,,,1,1
153,10.3,4.4,45,,,1,1
27,10.2,16.1,40,,,1,1
8,10.6,10.7,48,,,1,1
21,10.6,7.6,41,,,1,1
262,7.3,8.8,48,,,1,1
234,7.9,9.3,46,,,1,1
272,11.0,5.5,44,,,1,1
258,7.8,9.6,51,,,1,1
75,9.5,9.2,49,,,1,1
29,10.6,4.9,39,,,1,1
85,12.3,9.7,41,,,1,1
72,12.0,7.9,60,,,1,1
121,9.3,8.1,49,,,1,1
39,8.9,7.1,58,,,1,1
126,9.5,5.2,61,,,1,1
97,7.6,7.9,66,,,1,1
130,8.1,4.5,63,,,1,1
278,5.3,3.7,57,,,1,1
111,3.4,4.7,60,,,1,1
255,5.8,4.2,53,,,1,1
130,6.5,5.1,63,,,1,1
216,4.1,6.2,74,,,1,1
217,4.1,6.2,74,,,1,1
237,5.7,5.7,82,,,1,1
132,-2.1,6.2,57,,,1,0
172,-2.4,4.4,48,,,1,0
104,14.2,14.3,32,,,1,0
199,7.7,6.0,58,295.35,0.91,1,0
112,13.1,10.9,36,,,1,0
90,13.3,7.5,41,,,1,0
99,0.7000000000000001,10.3,50,298.06,1.03,1,0
47,13.4,15.7,41,312.43,1.24,1,0
81,18.6,8.9,22,299.15,1.08,1,0
94,17.0,7.9,40,,,1,0
185,-0.2,7.1,62,,,1,0
134,13.8,5.4,78,,,1,0
70,4.9,9.8,48,331.76,4.07,1,0
116,-2.9,12.4,54,,,1,0
23,3.5,11.2,62,329.47,3.11,1,0
258,7.8,9.6,51,,,1,0
136,8.4,22.1,55,,,1,0
232,11.1,6.9,64,,,1,0
235,-3.4,9.2,50,,,1,0
92,3.6,7.7,69,298.61,0.67,1,0
78,15.8,9.9,51,,,1,0
8,10.6,10.7,48,,,1,0
2,12.3,9.9,78,,,1,0
61,9.4,5.6,65,320.63,1.33,1,0
32,3.0,11.3,29,301.27,1.49,1,0
272,-3.2,5.0,43,,,1,0
208,0.1,4.2,46,,,1,0
75,9.5,9.2,49,,,1,0
261,-15.3,25.5,33,,,1,0
268,11.6,10.3,53,338.81,2.41,1,0
198,8.1,10.5,38,,,1,0
201,17.3,13.0,64,304.13,0.61,1,0
233,4.7,7.6,67,326.94,0.98,1,0
72,12.0,7.9,60,,,1,0
243,-9.4,14.1,36,,,1,0
117,13.1,10.9,36,299.43,0.59,1,0
57,13.3,7.5,53,,,1,0
83,18.1,8.2,40,,,1,0
278,5.3,3.7,57,,,1,0
37,8.8,11.4,38,,,1,0
34,13.1,5.9,54,,,1,0
194,12.2,10.6,46,,,1,0
131,15.3,10.2,34,,,1,0
218,13.3,11.9,71,,,1,0
126,9.5,5.2,61,,,1,0
244,-15.3,15.2,39,,,1,0
256,1.3,14.9,18,,,1,0
252,11.6,10.7,66,,,1,0
102,4.5,14.7,42,317.83,2.46,1,0
129,4.0,8.5,59,,,1,0
284,-2.9,18.7,35,,,1,0
249,-3.5,5.3,61,299.09,1.02,1,0
100,17.6,6.5,40,,,1,0
103,2.8,9.1,48,298.72,1.69,1,0
157,0.2,4.2,57,295.08,0.92,1,0
234,7.9,9.3,46,,,1,0
54,5.3,5.1,57,346.87,3.22,1,0
171,-0.5,9.7,67,295.93,1.19,1,0
71,0.9,3.5,53,,,1,0
276,-2.6,10.7,51,,,1,0
289,5.6,20.2,63,,,1,0
82,2.7,7.6,39,,,1,0
238,3.3,14.1,54,301.71,0.78,1,0
105,3.3,6.4,33,,,1,0
186,11.0,16.7,67,,,1,0
24,0.3,27.4,47,,,1,0
91,17.1,9.8,27,,,1,0
152,7.7,3.1,65,325.17,1.81,1,0
170,-3.2,18.6,39,,,1,0
210,10.7,7.1,74,,,1,0
168,3.3,4.8,39,,,1,0
149,1.1,3.5,61,298.87,0.55,1,0
165,3.8,3.3,23,,,1,0
93,15.8,9.9,48,,,1,0
264,0.9,10.8,56,,,1,0
107,4.3,14.1,58,298.72,1.69,1,0
187,12.5,10.9,49,,,1,0
179,2.3,12.4,71,308.48,1.35,1,0
183,-1.7000000000000002,20.7,53,,,1,0
174,5.0,4.4,64,325.17,1.81,1,0
248,4.0,8.9,62,301.71,0.78,1,0
150,6.8,1.2,63,,,1,0
42,,,52,309.72,1.06,1,0
27,2.5,7.6,48,,,1,0
259,-1.3,8.3,44,,,1,0
66,15.9,12.0,36,312.43,1.24,1,0
51,5.3,5.1,64,338.33,3.92,1,0
283,-9.4,27.4,30,,,1,0
182,11.6,10.7,56,336.43,5.0,1,0
251,-3.7,12.0,39,,,1,0
269,-5.7,1.8,57,,,1,0
270,,,46,,,1,0
231,-0.4,5.8,68,,,1,0
43,14.7,18.8,56,,,1,0
38,-0.5,17.1,33,,,1,0
155,-1.6,8.8,49,,,1,0
220,2.4,16.5,43,301.71,0.78,1,0
83,17.4,8.7,31,,,1,0
164,16.4,10.5,58,,,1,0
192,15.3,4.4,75,295.93,0.54,1,0
